Time,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
972,12.5356510132222,7.06713008278541,5,7.83333333333335,6.34578773110028,25.4191609566251,20,0,25.2729738906857,0
972.5,12.5864829148379,7.11353523555239,5,7.87500000000002,6.37478079809471,25.5026089137774,20,0,25.4416682980275,0
973,12.6376432220395,7.15949308156798,5,7.91666666666669,6.40397018858525,25.5858907480669,20,0,25.6087268479886,0
973.5,12.689128787069,7.20501042295674,5,7.95833333333335,6.43335415762489,25.6689906177165,20,0,25.7741750936447,0
974,12.7409365087736,7.25009378176126,5,8.00000000000002,6.46293098796029,25.7518932175068,20,0,25.9380375226443,0
974.5,12.7930633307102,7.29474941479821,5,8.04166666666669,6.49269898891031,25.8345837647927,20,0,26.1003376143405,0
975,12.8455062393504,7.33898332757801,5,8.08333333333335,6.52265649530088,25.9170479858497,20,0,26.2610978932736,0
975.5,12.898262262377,7.38280128735821,5,8.12500000000002,6.5528018664528,25.9992721025469,20,0,26.4203399792808,0
976,12.9513284670696,7.42620883539512,5,8.16666666666669,6.58313348521937,26.0812428193387,20,0,26.5780846344896,0
976.5,13.004701958772,7.46921129845223,5,8.20833333333335,6.61364975707099,26.1629473105716,20,0,26.7343518074224,0
977,13.0583798794365,7.51181379961905,5,8.25000000000002,6.64434910922403,26.244373208098,20,0,26.889160674428,0
977.5,13.112359406241,7.55402126848988,5,8.29166666666668,6.6752299898114,26.325508589194,20,0,27.0425296786286,0
978,13.1666377502755,7.59583845074741,5,8.33333333333335,6.70629086709268,26.4063419647723,20,0,27.1944765665636,0
978.5,13.2212121552919,7.63726991719258,5,8.37500000000002,6.7375302287014,26.4868622678861,20,0,27.3450184226907,0
979,13.2760798965151,7.67832007225891,5,8.41666666666668,6.76894658092759,26.5670588425179,20,0,27.4941717018933,0
979.5,13.3312382795121,7.71899316204637,5,8.45833333333335,6.80053844803369,26.6469214326465,20,0,27.6419522601321,0
980,13.3866846391143,7.7592932819067,5,8.50000000000001,6.83230437160197,26.7264401715866,20,0,27.7883753833669,0
980.5,13.4424163383916,7.79922438361064,5,8.54166666666668,6.86424290991192,26.8056055715962,20,0,27.9334558148641,0
981,13.498430767675,7.8387902821237,5,8.58333333333335,6.89635263734594,26.8844085137437,20,0,28.0772077809983,0
981.5,13.5547253436247,7.87799466201652,5,8.62500000000001,6.92863214382189,26.9628402380314,20,0,28.2196450156453,0
982,13.6112975083415,7.91684108353282,5,8.66666666666668,6.96108003425126,27.0408923337675,20,0,28.3607807832595,0
982.5,13.6681447285201,7.95533298833702,5,8.70833333333334,6.99369492802147,27.1185567301825,20,0,28.5006279007182,0
983,13.7252644946396,7.99347370496121,5,8.75000000000001,7.02647545850123,27.1958256872829,20,0,28.6391987580133,0
983.5,13.7826543201932,8.03126645397058,5,8.79166666666668,7.05942027256782,27.2726917869388,20,0,28.7765053378603,0
984,13.8403117409507,8.06871435286416,5,8.83333333333334,7.09252803015514,27.3491479241975,20,0,28.9125592342941,0
984.5,13.898234314256,8.10582042072736,5,8.87500000000001,7.12579740382162,27.4251872988191,20,0,29.047371670311,0
985,13.9564196183548,8.14258758265075,5,8.91666666666667,7.15922707833691,27.5008034070287,20,0,29.1809535146185,0
985.5,14.0148652517535,8.17901867392951,5,8.95833333333334,7.19281575028664,27.5759900334794,20,0,29.3133152975427,0
986,14.0735688326058,8.21511644405599,5,9.00000000000001,7.22656212769423,27.650741243422,20,0,29.4444672261462,0
986.5,14.1325279981265,8.25088356051772,5,9.04166666666667,7.26046492965903,27.7250513750749,20,0,29.5744191986016,0
987,14.1917404040319,8.286322612412,5,9.08333333333334,7.29452288601004,27.7989150321907,20,0,29.7031808178638,0
987.5,14.2512037240037,8.32143611388748,5,9.12500000000001,7.32873473697448,27.8723270768134,20,0,29.8307614046832,0
988,14.3109156491771,8.35622650742262,5,9.16666666666667,7.36309923286051,27.9452826222225,20,0,29.9571700099949,0
988.5,14.370873887651,8.3906961669501,5,9.20833333333334,7.39761513375354,28.0177770260585,20,0,30.0824154267214,0
989,14.4310761640193,8.42484740083568,5,9.25,7.43228120922544,28.0898058836261,20,0,30.2065062010203,0
989.5,14.4915202189229,8.4586824547196,5,9.29166666666667,7.46709623805609,28.1613650213688,20,0,30.3294506430084,0
990,14.5522038086208,8.49220351422788,5,9.33333333333334,7.5020590079668,28.2324504905136,20,0,30.4512568369906,0
990.5,14.6131247045795,8.52541270756059,5,9.375,7.53716831536496,28.3030585608782,20,0,30.5719326512204,0
991,14.6742806930807,8.5583121079637,5,9.41666666666667,7.57242296509956,28.3731857148388,20,0,30.6914857472181,0
991.5,14.7356695748452,8.59090373609047,5,9.45833333333333,7.60782177022703,28.4428286414533,20,0,30.8099235886693,0
992,14.7972891646732,8.62318956225844,5,9.5,7.64336355178697,28.5119842307358,20,0,30.9272534499257,0
992.5,14.8591372911003,8.65517150860724,5,9.54166666666667,7.67904713858734,28.5806495680801,20,0,31.0434824241304,0
993,14.9212117960678,8.68685145116226,5,9.58333333333333,7.71487136699882,28.6488219288254,20,0,31.158617430986,0
993.5,14.9835105346071,8.71823122180935,5,9.625,7.75083508075776,28.7164987729639,20,0,31.2726652241841,0
994,15.0460313745381,8.74931261018446,5,9.66666666666666,7.78693713077755,28.7836777399834,20,0,31.3856323985137,0
994.5,15.1087721961802,8.78009736548303,5,9.70833333333333,7.82317637496793,28.8503566438441,20,0,31.497525396664,0
995,15.1717308920754,8.81058719819274,5,9.75,7.859551678062,28.9165334680844,20,0,31.6083505157389,0
995.5,15.2349053667239,8.84078378175363,5,9.79166666666666,7.89606191145057,28.9822063610524,20,0,31.7181139134939,0
996,15.2982935363305,8.87068875414896,5,9.83333333333333,7.93270595302355,29.0473736312609,20,0,31.8268216143131,0
996.5,15.3618933285625,8.90030371943011,5,9.87499999999999,7.96948268701813,29.1120337428618,20,0,31.9344795149362,0
